Date;LIBERIA
2011-01-01;33.1
2011-01-02;33.3
2011-01-03;32
2011-01-05;31.1
2011-01-06;
2011-01-07;33.2
2011-01-08;32.4
2011-01-09;32.2
2011-01-10;32.6
2011-01-11;33.2
2011-01-12;33.4
2011-01-13;32.3
2011-01-14;
2011-01-15;33.1
2011-01-18;33.9
2011-01-19;33.9
2011-01-20;33.7
2011-01-21;33.6
2011-01-22;33.9
2011-01-23;33.6
2011-01-24;33.3
2011-01-25;33.4
2011-01-26;33.1
2011-01-27;33.5
2011-01-29;33.7
2011-01-30;
2011-01-31;
2011-02-01;34.5
2011-02-02;34
2011-02-03;34
2011-02-05;34.7
2011-02-06;33
2011-02-07;34
2011-02-08;35.4
2011-02-09;34
2011-02-10;35
2011-02-11;34.4
2011-02-12;34.5
2011-02-13;32.7
2011-02-14;33.6
2011-02-15;34
2011-02-16;33.4
2011-02-17;33.7
2011-02-18;34.3
2011-02-19;34.4
2011-02-20;34.9
2011-02-22;34.6
2011-02-23;35.2
2011-02-24;34.7
2011-02-25;34.8
2011-02-26;34.9
2011-02-27;35.1
2011-02-28;33.7
2011-03-01;
2011-03-02;33.7
2011-03-03;33.6
2011-03-04;33.6
2011-03-07;
2011-03-08;36
2011-03-09;35
2011-03-10;36.7
2011-03-11;35.7
2011-03-12;34.4
2011-03-14;34.6
2011-03-15;34.7
2011-03-16;34.2
2011-03-17;34.3
2011-03-18;33.7
2011-03-20;33.5
2011-03-21;34.1
2011-03-22;32.3
2011-03-23;34
2011-03-24;34.7
2011-03-25;35.9
2011-03-26;36.3
2011-03-27;35.9
2011-03-28;36.6
2011-03-29;37
2011-03-31;38.2
2011-04-01;36.4
2011-04-03;36.6
2011-04-04;35.5
2011-04-05;36
2011-04-06;36
2011-04-07;35.9
2011-04-08;35.2
2011-04-09;35.4
2011-04-10;34.8
2011-04-12;36.2
2011-04-13;35.9
2011-04-14;35.4
2011-04-15;35.9
2011-04-16;36
2011-04-17;36.8
2011-04-18;36.4
2011-04-19;36.4
2011-04-20;36.4
2011-04-21;36
2011-04-22;36.5
2011-04-24;35.5
2011-04-25;36.6
2011-04-26;37.7
2011-04-28;36.1
2011-04-29;37.3
2011-04-30;37.3
2011-05-01;36.6
2011-05-02;35.2
2011-05-03;35.8
2011-05-04;37
2011-05-05;36
2011-05-06;36.4
2011-05-07;35.8
2011-05-09;36.3
2011-05-10;34.9
2011-05-12;37.3
2011-05-13;36.2
2011-05-14;34
2011-05-15;35.4
2011-05-16;32.8
2011-05-17;33.2
2011-05-19;33.6
2011-05-20;33.4
2011-05-21;32.6
2011-05-22;31.7
2011-05-24;31.6
2011-05-25;32.2
2011-05-26;32.2
2011-05-27;33.7
2011-05-30;32
2011-05-31;31.9
2011-06-01;31.9
2011-06-02;31.6
2011-06-03;32.2
2011-06-04;32.9
2011-06-06;30.3
2011-06-09;31.7
2011-06-10;30.4
2011-06-12;33.3
2011-06-14;33.4
2011-06-15;33.4
2011-06-16;31.2
2011-06-17;32
2011-06-18;32.3
2011-06-20;32
2011-06-21;32.5
2011-06-23;33.4
2011-06-24;32
2011-06-28;32.9
2011-06-30;33.7
2011-07-03;31.5
2011-07-05;31.1
2011-07-07;33.4
2011-07-12;32.4
2011-07-13;29.3
2011-07-15;30.9
2011-07-16;30.8
2011-07-17;29.4
2011-07-19;32.9
2011-07-21;33.2
2011-07-23;32.4
2011-07-24;32.9
2011-07-25;33.7
2011-07-26;33.9
2011-07-27;34.2
2011-07-28;33.3
2011-07-29;31.6
2011-08-02;32.4
2011-08-03;31.3
2011-08-05;33.8
2011-08-08;33.5
2011-08-10;33.1
2011-08-11;33.4
2011-08-12;32.7
2011-08-13;32.7
2011-08-14;31.7
2011-08-15;31.2
2011-08-16;30.7
2011-08-17;32.6
2011-08-19;33.7
2011-08-20;32.4
2011-08-23;33.9
2011-08-25;31.5
2011-08-26;29
2011-08-28;31.2
2011-08-29;31.2
2011-08-31;32.7
2011-09-01;32.8
2011-09-02;32.2
2011-09-03;30.4
2011-09-05;32
2011-09-06;31.8
2011-09-07;32
2011-09-09;31
2011-09-10;32.3
2011-09-11;31.3
2011-09-12;30
2011-09-13;30.2
2011-09-15;33
